namename,requesttime,seentime,responsetime,update
joe,15:15:39.592632300,15:15:42.131734100,15:16:39.592632300,1
joe,15:32:10.953040,15:32:13.551618200,15:33:10.953040,1
joe,15:46:26.274564500,15:46:28.544093200,15:47:26.274564500,1
isaac,16:35:08.055514200,16:35:19.130527800,16:36:08.055514200,1
isaac,16:43:19.069224700,16:43:27.641578100,16:44:19.069224700,1
isaac,20:02:15.820754400,20:02:33.861055,20:03:15.820754400,1
joe,20:05:48.294344700,20:05:55.400524600,20:06:48.294344700,1
joe,21:22:50.901410500,21:22:59.459286200,21:23:50.901410500,1
joe,21:25:32.515323500,21:25:46.357822200,21:26:32.515323500,1
joe,21:32:58.648848500,21:33:10.666227500,21:33:58.648848500,1
joe,21:38:08.039028200,21:38:14.852452100,21:39:08.039028200,1
joe,21:41:33.931933100,21:41:41.660517,21:42:33.931933100,1
joe,21:52:16.782731300,21:52:19.629994600,21:53:16.782731300,1
joe,21:53:07.563521,21:53:10.043427500,21:54:07.563521,1
joe,21:53:52.027507100,21:53:54.526007,21:54:52.027507100,1
joe,21:54:33.149462,21:54:35.316024,21:55:33.149462,1
joe,21:54:55.504861600,21:54:57.442799100,21:55:55.504861600,1
joe,00:28:00.246580500,00:28:12.930741600,00:29:00.246580500,0
joe,00:40:55.703537200,00:40:59.848646300,00:41:55.703537200,0
joe,00:42:01.363953500,00:42:03.696448500,00:43:01.363953500,0
joe,00:46:19.267069800,00:46:23.565932600,00:47:19.267069800,0
joe,01:13:51.554757200,01:14:01.210597500,01:14:51.554757200,0
joe,01:16:58.941712700,01:17:02.783221400,01:17:58.941712700,0
joe,01:29:44.857931400,01:30:03.599346700,01:30:44.857931400,0
joe,08:45:24.882553600,08:45:36.753435100,08:46:24.882553600,0
joe,08:46:36.456932500,08:46:48.643208600,08:47:36.456932500,0
